Plants,Fish,Birds,Mammals
5,4,16,11
4,44,8,3
22,41,15,14
0,0,3,2
34,53,32,18
4,31,3,2
70,42,52,38
74,3,14,9
108,125,52,63
17,11,13,3
44,14,17,8
7,43,10,5
0,14,7,3
23,29,36,37
3,29,4,3
1,2,9,4
0,13,8,2
46,45,6,10
20,40,12,13
43,3,21,25
106,8,55,21
3,36,7,4
3,2,16,11
558,93,175,80
127,14,31,33
9,22,17,8
4,4,12,9
89,17,15,14
37,48,31,39
555,122,29,46
18,44,24,18
51,35,7,4
26,3,16,16
6,1,16,16
73,27,35,19
593,136,96,73
268,99,126,58
9,11,14,5
148,94,42,32
46,57,7,15
143,64,27,11
118,59,25,31
8,64,14,9
179,44,19,10
22,24,7,6
26,2,9,3
1,18,9,2
3,23,12,11
12,31,7,3
47,29,17,7
1860,61,106,47
8,58,14,18
33,17,7,6
98,44,6,23
6,29,21,15
0,5,9,1
13,5,13,9
64,14,35,34
78,20,14,7
2,6,11,2
47,53,16,9
173,72,7,18
6,35,14,10
63,11,14,9
36,24,11,5
119,58,23,21
72,80,17,10
3,29,2,3
120,41,17,15
70,76,20,30
6,41,12,14
30,33,16,11
93,30,17,4
134,45,14,8
43,9,13,3
0,16,7,6
396,227,93,93
458,166,160,191
7,47,28,18
2,19,17,13
3,28,9,5
23,50,18,15
102,52,17,8
215,30,11,7
50,77,49,29
8,20,14,13
14,14,27,16
243,74,44,30
0,14,6,2
0,18,11,7
13,3,15,5
56,55,29,45
0,6,11,1
24,28,11,10
4,1,8,4
53,64,14,24
7,32,8,10
0,0,2,0
1,6,10,2
0,1,3,0
1110,111,37,121
34,36,19,10
727,87,63,71
0,24,0,2
12,2,17,14
4,22,5,2
0,18,4,1
0,45,19,18
91,21,12,7
484,181,71,96
5,25,12,5
2,8,11,4
1,15,0,3
0,2,24,11
3,32,13,6
52,54,18,18
145,72,30,17
61,53,56,49
27,33,32,15
0,11,2,2
18,7,38,29
1,15,10,3
21,38,69,9
50,40,17,7
4,4,13,13
205,74,21,31
17,20,29,10
4,13,13,6
10,23,11,8
6,36,13,10
12,46,33,25
5,21,6,4
6,2,15,4
212,57,25,17
179,61,39,41
20,0,27,10
328,52,119,53
254,91,93,38
11,8,11,4
101,67,15,13
0,17,9,4
7,22,17,9
56,39,57,34
41,7,20,24
2,16,6,2
0,0,0,0
49,25,12,4
4,41,18,11
14,58,19,19
6,15,13,6
61,24,13,6
72,57,16,22
62,29,22,14
25,5,12,4
7,33,10,6
16,24,24,19
49,31,21,16
153,121,54,30
31,28,33,12
17,0,21,14
247,83,19,17
297,57,16,30
2,30,3,2
7,30,7,2
6,29,4,2
17,32,26,16
27,32,9,9
5,15,11,1
4,9,9,3
26,51,17,14
12,5,15,7
644,179,49,41
159,106,62,59
2,13,6,5
13,38,13,13
5,16,5,2
50,37,5,2
9,39,11,14
113,131,20,19
4,13,19,10
0,13,1,2
64,60,30,31
22,24,17,11
0,20,13,8
42,48,11,5
510,251,91,40
22,45,22,10
16,7,19,10
10,18,8,8
86,45,52,35
231,83,52,56
163,40,16,11
23,20,20,13
52,3,19,10
